,Id,App,Reviews,Rating,Current Version,Category,Type,Size,Price,Content Rating
188,320606217,Sleep Cycle alarm clock,104539,4.5,5.4.1,Health & Fitness,Free,75.6M,0.0$,Everyone
189,320636131,FACEinHOLE®,4016,4.0,5.7,Photo & Video,Paid,12.2M,0.99$,Everyone 12+
190,320650307,Harvest - Select the Best Produce,299,4.0,3.1,Food & Drink,Paid,17.3M,1.99$,Everyone
191,321369231,WORMS,5758,4.0,2.6,Games,Paid,242.1M,1.99$,Everyone 12+
192,321756558,Pixel Starships™ : 8Bit MMORPG,5565,4.5,0.39,Games,Free,65.9M,0.0$,Teen
193,322423174,Traffic Rush,213092,3.5,1.45.1,Games,Paid,8.2M,0.99$,Teen
194,322439990,MyRadar NOAA Weather Radar Forecast,150158,4.5,5.1.4,Weather,Free,121.4M,0.0$,Everyone
196,322523436,Resident Evil 4: PLATINUM,6046,4.0,1.04.10,Games,Paid,77.6M,4.99$,Everyone 12+
197,323229106,"Waze - GPS Navigation, Maps & Real-time Traffic",345046,4.5,4.24,Navigation,Free,89.8M,0.0$,Everyone
198,323242790,Cartoon Wars,35930,3.5,114,Games,Paid,12.6M,0.99$,Everyone 12+
199,323438913,Moto X Mayhem,22557,4.0,1.8.7,Games,Paid,20.0M,0.99$,Everyone
200,324266640,Fantasy Football Manager - FFM for FPL,292,3.0,9.3,Sports,Paid,34.3M,0.99$,Adults only
202,324684580,Spotify Music,878563,4.5,8.4.3,Music,Free,126.4M,0.0$,Everyone 12+
203,324887734,McDo France,22,3.5,4.0.16,Food & Drink,Free,35.3M,0.0$,Everyone
204,325462190,PGA Championship 2016 – Baltusrol Golf Club,10472,3.5,8.1,Sports,Free,61.2M,0.0$,Adults only
206,325658560,BFMTV : l'info en continu,115,4.0,5.0.3,News,Free,96.1M,0.0$,Adults only
207,325683306,"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",13915,4.5,5.1.4,Weather,Paid,118.0M,1.99$,Everyone
208,325954996,Spider:  The Secret of Bryce Manor,6780,4.0,1.5,Games,Paid,120.5M,1.99$,Teen
209,325962257,My Measures PRO,1701,4.0,6.06,Productivity,Paid,76.2M,7.99$,Everyone
210,326082487,Food Additives Checker (E Numbers),6,3.5,4.1.2,Health & Fitness,Paid,6.1M,1.99$,Everyone
212,326161564,SFR Mon Compte,19,3.0,6.4.0,Utilities,Free,70.7M,0.0$,Everyone
213,326574411,Baby Connect (Activity Log),3483,4.5,5.4.3,Medical,Paid,12.3M,4.99$,Everyone
214,326876192,Epson iPrint,2838,3.0,6.3.1,Photo & Video,Free,50.9M,0.0$,Everyone
215,326885152,Mad Libs,117889,3.0,3.3.3,Entertainment,Free,113.0M,0.0$,Everyone
217,326979430,BATTLE BEARS: Zombies!,50710,3.5,1.6.7,Games,Paid,98.4M,0.99$,Teen
219,327193945,Hurricane Tracker,3960,4.5,5.0,Weather,Paid,23.4M,2.99$,Everyone
220,327243363,NFL Sunday Ticket,24258,3.0,2.6.042,Entertainment,Free,91.6M,0.0$,Everyone
221,327455869,2016 US Open Tennis Championships,37522,4.0,8.0.353,Sports,Free,74.1M,0.0$,Everyone
222,327630330,Dropbox,49578,3.5,50.2,Productivity,Free,172.4M,0.0$,Everyone
223,328011357,Wa Kingyo - Goldfish Pond,626,4.0,2.0.3,Entertainment,Paid,53.8M,0.99$,Everyone
224,328205875,Monkey Preschool Lunchbox,9286,4.0,4.02,Games,Paid,218.7M,1.99$,Everyone
225,328415391,Yahoo Fantasy Sports,190670,3.5,9.1.0,Sports,Free,124.9M,0.0$,Adults only
226,329127297,Gaia GPS Classic,2429,4.5,10.9.13,Navigation,Paid,50.6M,19.99$,Everyone
227,329174056,iLoan Calc (Loan calculator),0,0.0,5.1.0,Finance,Paid,3.2M,3.99$,Everyone
228,329541503,Geocaching®,12811,3.5,5.3,Navigation,Free,103.2M,0.0$,Everyone
229,329670577,Camera+,32338,4.0,9.1,Photo & Video,Paid,85.1M,1.99$,Everyone
230,329703516,Alter Ego,262,4.0,1.3.0,Games,Paid,13.0M,4.99$,Everyone 12+
231,329887910,Parking Mania,9657,4.5,2.5.0,Games,Paid,117.8M,0.99$,Everyone
232,329981776,Sudoku⁺,18332,4.5,3.4,Games,Paid,1.5M,2.99$,Everyone
234,330376830,Period Tracker Lite,53620,4.0,9.5.1,Health & Fitness,Free,47.8M,0.0$,Everyone 12+
235,330803072,Camera Plus: For Macro Photos & Remote Photography,38533,2.5,4.5.4,Photo & Video,Paid,96.5M,0.99$,Everyone
236,331004675,The perfect Egg timer,40,3.5,1.8.9,Food & Drink,Paid,14.6M,0.99$,Everyone
237,331177703,Letter Quiz - alphabet tracing for kids,472,4.0,2.4,Games,Paid,30.4M,1.99$,Everyone
238,331177714,Starbucks,303856,4.5,4.3.5,Food & Drink,Free,128.8M,0.0$,Everyone
239,331259725,央视影音-海量央视内容高清直播,2070,2.5,6.2.0,Sports,Free,52.1M,0.0$,Everyone
240,331271904,Bloons TD,7941,4.0,1.2.1,Games,Paid,8.0M,2.99$,Everyone
241,331308914,Weight Watchers,136833,3.5,5.9.0,Health & Fitness,Free,220.0M,0.0$,Everyone 12+
242,331786748,"CNN: Breaking US & World News, Live Video",112886,3.5,5.3,News,Free,76.5M,0.0$,Everyone 12+
243,331804452,Gilt,26353,3.5,5.1.3,Shopping,Free,141.3M,0.0$,Everyone
245,332568551,TRUTH or DARE!!! - FREE,171055,3.0,5,Entertainment,Free,19.8M,0.0$,Everyone 12+
246,333180061,Canabalt,4540,4.0,2.31,Games,Paid,26.6M,2.99$,Teen
247,333206289,Alipay - Makes Life Easy,1926,3.0,10.0.15,Lifestyle,Free,198.7M,0.0$,Everyone
248,333246187,Scanner911 Pro,14345,4.0,4.0,News,Paid,32.2M,3.99$,Everyone 12+
249,333263435,Daily Teachings,1340,4.5,1.7.3,Lifestyle,Paid,19.4M,4.99$,Everyone
250,333710667,Scanner Pro - PDF document scanner app with OCR,31912,4.5,7.1.3,Business,Paid,96.7M,3.99$,Everyone
251,333903271,Twitter,354058,3.5,6.79.1,News,Free,200.8M,0.0$,Adults only
252,334235181,"Trainline UK: Live Train Times, Tickets & Planner",248,4.0,22,Travel,Free,105.1M,0.0$,Everyone
253,334256223,CBS News - Watch Free Live Breaking News,11691,3.5,3.5.1,News,Free,74.4M,0.0$,Everyone 12+
254,334264405,iOvilus,381,3.0,iOV 2.1.3,Entertainment,Paid,9.5M,1.99$,Everyone 12+
255,334503000,The Impossible Quiz!,18884,4.0,1.62,Entertainment,Free,42.6M,0.0$,Teen
257,334989259,WolframAlpha,7410,4.0,1.7.3,Reference,Paid,29.0M,2.99$,Teen
258,335029050,Catan,15175,4.0,4.6.2,Games,Paid,358.7M,1.99$,Everyone
259,335047649,ScanBizCards Business Card Reader,3166,4.0,6.08,Business,Paid,92.3M,0.99$,Everyone
261,335364882,"Walgreens – Pharmacy, Photo, Coupons and Shopping",88885,4.5,6.5,Shopping,Free,161.3M,0.0$,Everyone 12+
262,335545504,King of Dragon Pass,882,5.0,2.3.2,Games,Paid,347.6M,9.99$,Everyone 12+
263,335709058,Stylebook,1729,4.0,7.0,Lifestyle,Paid,42.1M,3.99$,Adults only
264,335744614,NBA,43682,3.5,2013.4.3,Sports,Free,106.9M,0.0$,Everyone
265,335862325,Blower,861,2.0,4.2,Entertainment,Paid,94.4M,0.99$,Everyone
266,335875911,My Cycles Period and Ovulation Tracker,7469,3.5,5.10.3,Health & Fitness,Free,74.1M,0.0$,Everyone 12+
267,335989871,"Kmart – Download Now, Shop Online & Pick Up Today!",4186,3.5,17.0,Shopping,Free,90.1M,0.0$,Everyone
268,336141475,优酷视频,4885,3.5,6.7.0,Entertainment,Free,195.5M,0.0$,Everyone 12+
269,336347946,DOOM Classic,3970,4.0,2.7,Games,Paid,31.3M,4.99$,Adults only
270,336353151,SoundCloud - Music & Audio,135744,4.0,5.6.0,Music,Free,100.1M,0.0$,Everyone
271,336435697,imo video calls and chat,18841,4.0,7.0.84,Social Networking,Free,21.5M,0.0$,Everyone
272,336477530,Plane Finder - Flight Tracker,1438,4.0,9.4.1,Navigation,Paid,50.2M,3.99$,Everyone
274,336599882,"Runtastic Running, Jogging and Walking Tracker",10298,4.5,7.3,Health & Fitness,Free,144.4M,0.0$,Everyone
275,336683524,iFiles,1842,3.5,1.17.11,Productivity,Paid,45.1M,0.99$,Everyone
276,336689375,TeachMe: Kindergarten,2548,4.0,4.2.2,Education,Paid,57.1M,1.99$,Everyone
277,336834650,Moorhuhn Deluxe - Crazy Chicken,319,3.0,2.8.0,Games,Paid,26.5M,0.99$,Everyone 12+
278,336860594,Victoria’s Secret – The Sexiest Bras & Lingerie,34507,3.5,5.2.1,Shopping,Free,58.2M,0.0$,Everyone 12+
279,337021781,MONOPOLY Game,26482,3.5,1.4.04,Games,Paid,185.4M,0.99$,Everyone
281,337056601,n-tv Nachrichten,273,3.0,5.25,News,Free,47.2M,0.0$,Everyone 12+
282,337288863,Shazam Encore,8331,4.0,11.0.2,Music,Paid,140.3M,2.99$,Everyone 12+
283,337402021,Harry Potter: Spells,17023,4.0,2.2,Games,Paid,119.6M,0.99$,Everyone
284,337462979,First Words Deluxe,1101,4.0,7.0,Games,Paid,60.4M,4.99$,Everyone
285,337571576,Clay Hunt,1193,4.0,3.5.3,Games,Paid,14.6M,0.99$,Adults only
286,337710261,Dream Team - be your own fantasy football manager,35,2.5,12.8.0,Sports,Free,66.6M,0.0$,Adults only
287,337866370,Jet Car Stunts,4088,4.0,1.5.0,Games,Paid,31.3M,1.99$,Everyone
288,338057689,Call of Duty: Zombies,63943,4.0,1.5.0,Games,Paid,50.4M,4.99$,Adults only
