"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2013 WM)","2047-2105","2","6.2e-7","35.38","23.9","0.055","-5.15","-5.38","0","bK13W00M"
"(2010 XB73)","2023-2110","50","2.8e-7","5.98","22.5","0.110","-5.16","-5.96","0","bK10X73B"
"(2005 CC37)","2095-2117","3","1.3e-6","8.42","22.7","0.098","-5.17","-5.23","0","bK05C37C"
"(1999 RZ31)","2056-2056","2","1.6e-6","8.20","23.8","0.059","-5.23","-5.29","0","bJ99R31Z"
"(2017 NT5)","2050-2115","6","5.8e-7","20.15","22.9","0.090","-5.23","-5.67","0","bK17N05T"
"(2006 QN111)","2079-2079","1","1.9e-6","10.55","23.8","0.060","-5.27","-5.27","0","bK06QB1N"
"(2017 QC36)","2024-2117","79","5.0e-7","4.51","23.1","0.081","-5.27","-5.61","0","bK17Q36C"
"(2009 BR5)","2059-2078","2","1.7e-7","17.97","22.1","0.130","-5.28","-5.29","0","bK09B05R"
"(2018 YH2)","2024-2118","87","3.0e-7","9.71","23.1","0.082","-5.30","-5.95","0","bK18Y02H"
"(2006 CD)","2021-2113","48","2.0e-8","11.26","21.0","0.215","-5.31","-6.15","0","bK06C00D"
"(2010 HV20)","2116-2116","2","1.3e-7","24.74","21.9","0.140","-5.33","-5.38","0","bK10H20V"
"(2014 NJ65)","2022-2114","8","2.0e-9","8.58","19.3","0.462","-5.39","-5.51","0","bK14N65J"
"(2014 MO68)","2020-2116","203","7.5e-7","8.09","23.6","0.066","-5.40","-6.47","0","bK14M68O"
"(2005 WG57)","2029-2104","7","7.2e-7","9.88","23.6","0.063","-5.41","-5.59","0","bK05W57G"
"(2004 GE2)","2106-2109","2","6.5e-8","20.57","21.4","0.180","-5.44","-5.53","0","bK04G02E"
"(2017 DC120)","2021-2115","81","5.2e-8","10.55","22.3","0.120","-5.50","-5.87","0","bK17DC0C"
"(2004 ME6)","2019-2105","45","1.0e-7","12.17","22.6","0.103","-5.51","-6.34","0","bK04M06E"
"(2015 DA54)","2107-2107","1","2.6e-8","23.13","20.8","0.230","-5.52","-5.52","0","bK15D54A"
"(2018 YW2)","2050-2081","4","9.4e-7","7.46","24.0","0.054","-5.62","-5.99","0","bK18Y02W"
"(2017 MZ8)","2020-2115","57","3.4e-8","9.65","22.4","0.111","-5.68","-5.95","0","bK17M08Z"
"(2017 FB1)","2098-2106","3","2.9e-7","22.17","23.4","0.071","-5.69","-5.97","0","bK17F01B"
"(2017 AB21)","2024-2110","25","5.6e-9","10.69","20.7","0.243","-5.80","-6.42","0","bK17A21B"
"(2013 NH6)","2060-2060","2","1.1e-7","21.74","23.4","0.073","-5.83","-6.09","0","bK13N06H"
"(2017 UE52)","2020-2108","56","2.6e-8","11.74","22.9","0.091","-5.89","-6.22","0","bK17U52E"
"(2011 KF36)","2022-2106","6","9.9e-10","22.33","20.4","0.280","-5.92","-6.35","0","bK11K36F"
"(2007 PR25)","2094-2113","3","1.9e-8","29.29","21.9","0.140","-5.96","-6.09","0","bK07P25R"
"(2013 JA17)","2027-2092","2","7.0e-10","9.64","19.1","0.510","-5.96","-6.01","0","bK13J17A"
